"","year","week","UF","status_sars","n_sars","min_sars","max_sars","cases","deaths","status_flu","n_flu","min_flu","max_flu"
"60",2009,3,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"61",2009,3,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"62",2009,3,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"63",2009,3,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"64",2009,3,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"65",2009,3,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"66",2009,3,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"67",2009,3,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"68",2009,3,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"69",2009,3,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"70",2009,3,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"71",2009,3,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"72",2009,3,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"73",2009,3,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"74",2009,3,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"75",2009,3,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"76",2009,3,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"77",2009,3,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"78",2009,3,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"79",2009,3,"Rondônia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"80",2009,3,"Roraima","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"81",2009,3,"Santa Catarina","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"82",2009,3,"São Paulo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"83",2009,3,"Sergipe","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"84",2009,3,"Tocantins","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"85",2009,4,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"86",2009,4,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"87",2009,4,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"88",2009,4,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"89",2009,4,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"90",2009,4,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"91",2009,4,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"92",2009,4,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"93",2009,4,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"94",2009,4,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"95",2009,4,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
"96",2009,4,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA,"Dado estável. Sujeito a pequenas alterações.",0,0,0
