"","UF","status","n","year","week","min","max"
"7085","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7086","Acre","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7087","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7088","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7089","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7090","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7091","Brasil","Dado estável. Sujeito a pequenas alterações.","13",2013,46,"13","13"
"7092","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7093","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7094","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7095","Goiás","Dado estável. Sujeito a pequenas alterações.","2",2013,46,"2","2"
"7096","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7097","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7098","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7099","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","2",2013,46,"2","2"
"7100","Paraná","Dado estável. Sujeito a pequenas alterações.","2",2013,46,"2","2"
"7101","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7102","Pará","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7103","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7104","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7105","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7106","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","2",2013,46,"2","2"
"7107","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7108","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7109","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7110","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","1",2013,46,"1","1"
"7111","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7112","São Paulo","Dado estável. Sujeito a pequenas alterações.","4",2013,46,"4","4"
"7113","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2013,46,"0","0"
"7114","Acre","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
"7115","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2013,47,"0","0"
