"","UF","status","n","year","week","min","max"
"96","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"97","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"98","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"99","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"100","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"101","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"102","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"103","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"104","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"105","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"106","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"107","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"108","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"109","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"110","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"111","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"112","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"113","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"114","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"115","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"116","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"117","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"118","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"119","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"120","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"121","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"122","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"123","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"124","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"125","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"126","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"127","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"128","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"129","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"130","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"131","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"132","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"133","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"134","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"135","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"136","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"137","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"138","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"139","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"140","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"141","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2009,5,"0","0"
"142","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"143","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"144","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"145","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"146","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
"147","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,6,"0","0"
