"","year","week","UF","status_sars","n_sars","min_sars","max_sars","cases","deaths"
"85",2009,4,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"86",2009,4,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"87",2009,4,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"88",2009,4,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"89",2009,4,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"90",2009,4,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"91",2009,4,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"92",2009,4,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"93",2009,4,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"94",2009,4,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"95",2009,4,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"96",2009,4,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"97",2009,4,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"98",2009,4,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"99",2009,4,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"100",2009,4,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"101",2009,4,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"102",2009,4,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"103",2009,4,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"104",2009,4,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"105",2009,4,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"106",2009,4,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"107",2009,4,"Rondônia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
