"","UF","year","week","cases","deaths"
"208","Rio Grande do Sul",2020,12,60,0
"209","Rio Grande do Sul",2020,13,197,2
"210","Rio Grande do Sul",2020,14,410,6
"211","Rondônia",2020,5,0,0
"212","Rondônia",2020,6,0,0
"213","Rondônia",2020,7,0,0
"214","Rondônia",2020,8,0,0
"215","Rondônia",2020,9,0,0
"216","Rondônia",2020,10,0,0
"217","Rondônia",2020,11,0,0
"218","Rondônia",2020,12,1,0
"219","Rondônia",2020,13,6,0
"220","Rondônia",2020,14,11,1
"221","Roraima",2020,5,0,0
"222","Roraima",2020,6,0,0
"223","Roraima",2020,7,0,0
"224","Roraima",2020,8,0,0
"225","Roraima",2020,9,0,0
"226","Roraima",2020,10,0,0
"227","Roraima",2020,11,0,0
"228","Roraima",2020,12,0,0
"229","Roraima",2020,13,12,0
"230","Roraima",2020,14,37,1
"231","Santa Catarina",2020,5,0,0
"232","Santa Catarina",2020,6,0,0
"233","Santa Catarina",2020,7,0,0
"234","Santa Catarina",2020,8,0,0
"235","Santa Catarina",2020,9,0,0
"236","Santa Catarina",2020,10,0,0
"237","Santa Catarina",2020,11,4,0
"238","Santa Catarina",2020,12,51,0
"239","Santa Catarina",2020,13,184,1
"240","Santa Catarina",2020,14,334,5
"241","São Paulo",2020,5,0,0
"242","São Paulo",2020,6,0,0
"243","São Paulo",2020,7,0,0
"244","São Paulo",2020,8,0,0
"245","São Paulo",2020,9,2,0
"246","São Paulo",2020,10,13,0
"247","São Paulo",2020,11,65,0
"248","São Paulo",2020,12,459,15
"249","São Paulo",2020,13,1406,84
"250","São Paulo",2020,14,4466,260
"251","Sergipe",2020,5,0,0
"252","Sergipe",2020,6,0,0
"253","Sergipe",2020,7,0,0
"254","Sergipe",2020,8,0,0
"255","Sergipe",2020,9,0,0
"256","Sergipe",2020,10,0,0
"257","Sergipe",2020,11,0,0
"258","Sergipe",2020,12,10,0
"259","Sergipe",2020,13,16,0
"260","Sergipe",2020,14,27,2
"261","Tocantins",2020,5,0,0
"262","Tocantins",2020,6,0,0
"263","Tocantins",2020,7,0,0
"264","Tocantins",2020,8,0,0
"265","Tocantins",2020,9,0,0
"266","Tocantins",2020,10,0,0
"267","Tocantins",2020,11,0,0
"268","Tocantins",2020,12,2,0
"269","Tocantins",2020,13,9,0
"270","Tocantins",2020,14,14,0
"271","Brasil",2020,5,0,0
"272","Brasil",2020,6,0,0
"273","Brasil",2020,7,0,0
"274","Brasil",2020,8,0,0
"275","Brasil",2020,9,2,0
"276","Brasil",2020,10,19,0
"277","Brasil",2020,11,121,0
"278","Brasil",2020,12,1128,18
"279","Brasil",2020,13,3903,114
"280","Brasil",2020,14,10278,432
